City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,port alfred,-33.5906,26.891,60.19,98,100,1.99,ZA,1731267528
121,sechura,-5.5569,-80.8222,76.39,59,100,14.99,PE,1731267529
122,calabozo,8.9242,-67.4293,85.89,65,100,1.41,VE,1731267360
123,nadym,65.5333,72.5167,11.53,93,100,24.56,RU,1731267532
124,napili-honokowai,20.9708,-156.6705,79.95,83,4,16.33,US,1731267533
125,kyabe,9.4515,18.9449,80.46,32,85,1.43,TD,1731267534
126,khandud,36.9513,72.318,32.34,86,57,4.85,AF,1731267535
127,gadzhiyevo,69.2551,33.3362,36.61,83,98,9.46,RU,1731267536
128,arkhangel'sk,64.5401,40.5433,35.71,100,75,6.71,RU,1731267301
129,kletnya,53.3897,33.2171,35.94,89,33,2.86,RU,1731267539
130,labuan,5.2767,115.2417,77.36,100,40,1.14,MY,1731267540
131,midvagur,62.0511,-7.1939,49.03,81,100,20.71,FO,1731267541
132,meadow lakes,61.6247,-149.6011,36.52,66,100,4.61,US,1731267542
133,cidreira,-30.1811,-50.2056,70.36,68,0,17.92,BR,1731267544
134,cozumel,20.5083,-86.9458,86.07,74,40,4.61,MX,1731267393
135,aasiaat,68.7098,-52.8699,15.13,97,94,3.38,GL,1731267546
136,skeldon,5.8833,-57.1333,85.41,66,62,10.16,GY,1731267547
137,priargunsk,50.3691,119.1012,22.12,71,100,5.17,RU,1731267548
138,port pirie,-33.1833,138.0167,68.65,52,73,6.11,AU,1731267549
139,vila velha,-20.3297,-40.2925,78.75,71,20,16.11,BR,1731267258
140,namibe,-15.1961,12.1522,70.16,70,87,7.76,AO,1731267551
141,mount gambier,-37.8333,140.7667,45.97,90,12,5.35,AU,1731267552
142,el nido,11.1858,119.3956,79.14,96,89,6.4,PH,1731267553
143,derzhavinsk,51.1,66.3167,32.47,97,100,17.56,KZ,1731267554
144,kingston,17.997,-76.7936,87.17,70,20,18.41,JM,1731267365
145,sultanpur,26.2667,82.0667,74.28,52,0,1.81,IN,1731267556
146,dunedin,-45.8742,170.5036,51.8,70,75,15.99,NZ,1731267557
147,bengkulu,-3.8004,102.2655,76.08,92,91,4.52,ID,1731267558
148,hawaiian paradise park,19.5933,-154.9731,77.9,84,100,4.61,US,1731267534
149,dzhalagash,45.0833,64.6667,43.68,82,100,14.92,KZ,1731267560
150,ust'-ilimsk,58.0006,102.6619,14.09,91,54,4.5,RU,1731267561
151,sitka,57.0531,-135.33,48.09,53,75,23.02,US,1731267562
152,vila franca do campo,37.7167,-25.4333,68.41,99,91,11.1,PT,1731267563
153,anadyr,64.75,177.4833,23.5,86,75,6.71,RU,1731267564
154,susuman,62.7833,148.1667,-31.09,99,98,0.4,RU,1731267565
155,ola,59.5833,151.2833,12.78,65,100,16.24,RU,1731267566
156,krivosheino,57.3431,83.9261,32.67,92,100,16.17,RU,1731267567
157,badou,7.5833,0.6,79.07,67,83,3.27,TG,1731267568
158,dalai,45.5,124.3,32.4,33,60,5.88,CN,1731267569
159,kolonia,50.9333,6.95,50.97,88,100,2.3,DE,1731267345
160,pratt,37.6439,-98.7376,64.62,45,0,8.05,US,1731267571
161,kayes,14.0,-11.0,83.64,19,0,5.26,ML,1731267572
162,tongouson,5.0214,120.1328,81.66,81,66,2.64,PH,1731267573
163,nakamura,32.9833,132.9333,59.74,99,100,1.5,JP,1731267576
164,touros,-5.1989,-35.4608,78.93,72,100,13.24,BR,1731267577
165,kalmunai,7.4167,81.8167,76.68,88,50,9.75,LK,1731267578
166,vaijapur,19.9167,74.7333,72.34,47,0,7.85,IN,1731267579
167,mount pearl,47.5166,-52.7813,37.15,59,20,31.07,CA,1731267346
168,saipan,15.1355,145.701,83.1,88,0,14.97,MP,1731267581
169,chajari,-30.7505,-57.9796,86.38,29,0,8.23,AR,1731267582
170,kilindoni,-7.9139,39.6668,80.1,75,2,12.62,TZ,1731267583
171,tura,25.5198,90.2201,66.97,89,0,3.06,IN,1731267357
172,cabedelo,-6.9811,-34.8339,84.87,72,99,11.97,BR,1731267585
173,isafjordur,66.0755,-23.124,36.7,93,100,37.87,IS,1731267586
174,arue,-17.5167,-149.5,81.28,74,100,6.91,PF,1731267587
175,katsuura,35.1333,140.3,62.11,96,100,14.03,JP,1731267588
176,kone,-21.0595,164.8658,76.15,61,30,3.33,NC,1731267590
177,altania,-23.8744,-53.9017,87.69,39,0,8.7,BR,1731267591
